しらんがな	(´･ω･｀)しらんがな
あきれる	(*￣￣￣￣ー￣￣￣￣)ﾌｯ
あきれる	(?(｡_。).｡o0O?？
あきれる	(`_ゝ´)ｱｯｿ
あきれる	(￣_￣ )｡o０○(ｳﾍﾍ…)
あきれる	(´ー｀)┌ﾌｯ
あきれる	(・x・ ).o0○
あきれる	＼(*´▽｀*)／
あきれる	┐( -"-)┌ﾔﾚﾔﾚ...
あきれる	┐(-｡ｰ;)┌ﾔﾚﾔﾚ
あきれる	┐('～`；)┌
あきれる	┐(￣ヘ￣）┌ ﾔﾚﾔﾚ･･･
あきれる	┐(´-｀)┌
あきれる	┐('д')┌
あきれる	ε- (´ー`*) ﾌｯ
あきれる	ε-(￣ヘ￣)┌ ﾀﾞﾐﾀﾞｺﾘｬ…
あきれる	σ(o-*)ﾌｩ
あきれる	ﾊｲﾊｲ　（´。` ） =3
あきれる	ﾌｯヽ(ω` )ﾉヽ(´ω`)ﾉヽ(´ω)ﾉ ﾌｯ
あきれる	ﾌｯヽ(ｴ` )ﾉヽ(´ｴ`)ﾉヽ(´ｴ)ﾉ ﾌｯ
あきれる	ﾔｯﾃﾗﾚﾝﾜ…ヽ(○´3`)ﾉ ﾌｯ
あきれる	ﾔﾚﾔﾚ ┐(´(エ)｀)┌ｸﾏｯﾀﾈ
あきれる	ﾔﾚﾔﾚ ┐(´ｰ｀)┌ ﾏｲｯﾀﾈ
あきれる	ﾔﾚﾔﾚ ┐(○｀ε´○)┌ ﾏｲｯﾀﾈ
あきれる	ﾔﾚﾔﾚ<(´ﾛ｀')o
あきれる	ﾔﾚﾔﾚ┐(´ー｀)┌ (┐´ー) ┐(　　　)┌ (ー｀┌)
あきれる	ﾔﾚﾔﾚ… ヽ(ﾟ～ﾟo)ﾉ ｱｷﾏﾍﾝﾜ
あきれる	ﾔﾚﾔﾚヽ(~～~　)ノ
あきれる	ヽ(　　´　　∇　　｀　　)ﾉ ♪
あきれる	ヽ( ´ー)ノ ﾌｯ
あきれる	ヽ( ´ー`)ﾉﾌｯ
あきれる	ヾ( ´Ω｀)ﾉ ﾌｯ
あきれる	ヾ(´ー｀)ﾉ
あきれる	ヽ(´▽｀)/
あきれる	ヽ(´・｀)ﾉ ﾌｯ
あきれる	ヽ(● ´ ー ｀ ●)/
あせ	(　 ﾟ ▽ ﾟ
あせ	( -.-) =зﾌｳｰ
